Date,Symbol,Close,mom,yoy
31-03-2021,GOLD         ,44637,-0.024029211,
30-04-2021,GOLD         ,46737,0.047046172,
31-05-2021,GOLD         ,48821,0.044589939,
30-06-2021,GOLD         ,46839,-0.040597284,
30-07-2021,GOLD         ,47846,0.021499178,
31-08-2021,GOLD         ,47120,-0.015173682,
30-09-2021,GOLD         ,46323,-0.016914261,
29-10-2021,GOLD         ,47635,0.028322863,
30-11-2021,GOLD         ,47606,-0.000608796,-0.003891865
31-12-2021,GOLD         ,48099,0.010355837,-0.040916432
31-01-2022,GOLD         ,47686,-0.008586457,-0.028719244
28-02-2022,GOLD         ,50760,0.064463365,0.109847822
31-03-2022,GOLD         ,51585,0.016252955,0.155655622
29-04-2022,GOLD         ,51754,0.003276146,0.107345358
31-05-2022,GOLD         ,50855,-0.017370638,0.041662399
30-06-2022,GOLD         ,50517,-0.006646347,0.078524307
21-07-2022,GOLD         ,50375,-0.002810935,0.052857083
30-11-2020,GOLDGUINEA   ,38524,,
31-12-2020,GOLDGUINEA   ,40165,0.042596823,
29-01-2021,GOLDGUINEA   ,39522,-0.016008963,
26-02-2021,GOLDGUINEA   ,37289,-0.056500177,
31-03-2021,GOLDGUINEA   ,35337,-0.052347877,
30-04-2021,GOLDGUINEA   ,37936,0.073548971,
31-05-2021,GOLDGUINEA   ,39304,0.036060734,
30-06-2021,GOLDGUINEA   ,37353,-0.049638714,
30-07-2021,GOLDGUINEA   ,38755,0.037533799,
31-08-2021,GOLDGUINEA   ,37836,-0.023713069,
30-09-2021,GOLDGUINEA   ,36646,-0.031451528,
29-10-2021,GOLDGUINEA   ,38389,0.047563172,
30-11-2021,GOLDGUINEA   ,38579,0.004949334,0.001427681
31-12-2021,GOLDGUINEA   ,38473,-0.002747609,-0.042126229
31-01-2022,GOLDGUINEA   ,38318,-0.004028799,-0.030464045
28-02-2022,GOLDGUINEA   ,40546,0.058144997,0.087344793
31-03-2022,GOLDGUINEA   ,41219,0.016598431,0.166454425
29-04-2022,GOLDGUINEA   ,41644,0.010310779,0.097743568
31-05-2022,GOLDGUINEA   ,40852,-0.019018346,0.039385304
30-06-2022,GOLDGUINEA   ,40722,-0.003182219,0.090193559
21-07-2022,GOLDGUINEA   ,40361,-0.008864987,0.041439814
30-11-2020,GOLDM        ,47898,,
31-12-2020,GOLDM        ,50081,0.045576016,
29-01-2021,GOLDM        ,49111,-0.019368623,
26-02-2021,GOLDM        ,45569,-0.072122335,
31-03-2021,GOLDM        ,44418,-0.025258399,
30-04-2021,GOLDM        ,46431,0.045319465,
31-05-2021,GOLDM        ,48807,0.051172708,
30-06-2021,GOLDM        ,46817,-0.04077284,
30-07-2021,GOLDM        ,47901,0.023153983,
31-08-2021,GOLDM        ,47060,-0.017557045,
30-09-2021,GOLDM        ,46221,-0.017828304,
29-10-2021,GOLDM        ,47502,0.027714675,
30-11-2021,GOLDM        ,47439,-0.00132626,-0.009582864
31-12-2021,GOLDM        ,47994,0.011699235,-0.041672491
31-01-2022,GOLDM        ,47840,-0.003208734,-0.025880149
28-02-2022,GOLDM        ,50530,0.056229097,0.108867871
31-03-2022,GOLDM        ,51633,0.021828617,0.162434148
29-04-2022,GOLDM        ,51809,0.003408673,0.115827787
31-05-2022,GOLDM        ,50924,-0.017081974,0.043374926
30-06-2022,GOLDM        ,50719,-0.004025607,0.083345793
21-07-2022,GOLDM        ,50427,-0.005757211,0.052733763
30-11-2020,GOLDPETAL    ,4832,,
31-12-2020,GOLDPETAL    ,5021,0.039114238,
29-01-2021,GOLDPETAL    ,4932,-0.017725553,
26-02-2021,GOLDPETAL    ,4653,-0.056569343,
31-03-2021,GOLDPETAL    ,4418,-0.050505051,
30-04-2021,GOLDPETAL    ,4676,0.058397465,
31-05-2021,GOLDPETAL    ,4906,0.04918734,
30-06-2021,GOLDPETAL    ,4672,-0.047696698,
30-07-2021,GOLDPETAL    ,4843,0.036601027,
31-08-2021,GOLDPETAL    ,4723,-0.02477803,
30-09-2021,GOLDPETAL    ,4585,-0.029218717,
29-10-2021,GOLDPETAL    ,4795,0.045801527,
30-11-2021,GOLDPETAL    ,4816,0.004379562,-0.003311258
31-12-2021,GOLDPETAL    ,4809,-0.001453488,-0.042222665
31-01-2022,GOLDPETAL    ,4778,-0.006446247,-0.031224655
28-02-2022,GOLDPETAL    ,5071,0.061322729,0.089834515
31-03-2022,GOLDPETAL    ,5145,0.014592782,0.164554097
29-04-2022,GOLDPETAL    ,5204,0.011467444,0.112917023
31-05-2022,GOLDPETAL    ,5110,-0.018063028,0.041581737
30-06-2022,GOLDPETAL    ,5085,-0.004892368,0.088398973
21-07-2022,GOLDPETAL    ,5021,-0.012586037,0.036754078
30-11-2020,KAPAS        ,1080,,
31-12-2020,KAPAS        ,1080,0,
29-01-2021,KAPAS        ,1110,0.027777778,
26-02-2021,KAPAS        ,1222,0.100900901,
31-03-2021,KAPAS        ,1241,0.015548282,
30-04-2021,KAPAS        ,1307,0.053182917,
31-05-2021,KAPAS        ,1170,-0.104820199,
30-06-2021,KAPAS        ,1200,0.025641026,
30-07-2021,KAPAS        ,1230,0.025,
31-08-2021,KAPAS        ,1340,0.089430894,
30-09-2021,KAPAS        ,1370,0.02238806,
29-10-2021,KAPAS        ,1550,0.131386861,
30-11-2021,KAPAS        ,1661.5,0.071935484,0.538425926
31-12-2021,KAPAS        ,1670,0.005115859,0.546296296
31-01-2022,KAPAS        ,1775,0.062874251,0.599099099
28-02-2022,KAPAS        ,1911.5,0.076901408,0.564238953
31-03-2022,KAPAS        ,2197.5,0.149620717,0.770749396
29-04-2022,KAPAS        ,2263,0.029806598,0.73144606
31-05-2022,KAPAS        ,1700,-0.248784799,0.452991453
30-06-2022,KAPAS        ,1650,-0.029411765,0.375
21-07-2022,KAPAS        ,1600,-0.03030303,0.300813008
30-11-2020,LEAD         ,160.7,,
31-12-2020,LEAD         ,157.2,-0.021779714,
29-01-2021,LEAD         ,160.9,0.023536896,
26-02-2021,LEAD         ,172.5,0.072094469,
31-03-2021,LEAD         ,164.25,-0.047826087,
30-04-2021,LEAD         ,175.65,0.069406393,
31-05-2021,LEAD         ,172.2,-0.019641332,
30-06-2021,LEAD         ,174.15,0.011324042,
30-07-2021,LEAD         ,177.3,0.018087855,
31-08-2021,LEAD         ,181.8,0.025380711,
30-09-2021,LEAD         ,187,0.02860286,
29-10-2021,LEAD         ,189.4,0.012834225,
30-11-2021,LEAD         ,187.8,-0.00844773,0.168637212
31-12-2021,LEAD         ,189.25,0.00772098,0.203880407
31-01-2022,LEAD         ,188.55,-0.003698811,0.171845867
28-02-2022,LEAD         ,190.6,0.010872448,0.104927536
31-03-2022,LEAD         ,191.2,0.003147954,0.164079148
29-04-2022,LEAD         ,186.5,-0.02458159,0.061770566
31-05-2022,LEAD         ,187.95,0.007774799,0.091463415
30-06-2022,LEAD         ,184,-0.021016228,0.056560436
